Altura (nm),Frecuencia
0.000000,21.000000
0.113525,74.000000
0.227050,150.000000
0.340575,320.000000
0.454100,725.000000
0.567625,1542.000000
0.681150,2784.000000
0.794675,5267.000000
0.908200,9150.000000
1.021725,14715.000000
1.135250,21149.000000
1.248775,27334.000000
1.362300,32082.000000
1.475825,33182.000000
1.589350,30165.000000
1.702875,25015.000000
1.816400,18806.000000
1.929925,12872.000000
2.043450,8332.000000
2.156975,4921.000000
2.270500,2700.000000
2.384025,1439.000000
2.497550,847.000000
2.611075,523.000000
2.724600,393.000000
2.838125,380.000000
2.951650,308.000000
3.065175,325.000000
3.178700,299.000000
3.292225,301.000000
3.405750,284.000000
3.519275,322.000000
3.632800,308.000000
3.746325,321.000000
3.859850,291.000000
3.973375,306.000000
4.086900,259.000000
4.200425,257.000000
4.313950,254.000000
4.427475,276.000000
4.541000,238.000000
4.654525,227.000000
4.768050,211.000000
4.881575,220.000000
4.995100,174.000000
5.108625,155.000000
5.222150,160.000000
5.335675,137.000000
5.449200,116.000000
5.562725,140.000000
5.676250,126.000000
5.789775,108.000000
5.903300,94.000000
6.016825,87.000000
6.130350,77.000000
6.243875,84.000000
6.357400,64.000000
6.470925,40.000000
6.584450,37.000000
6.697975,35.000000
6.811500,21.000000
6.925025,28.000000
7.038550,21.000000
7.152075,17.000000
7.265600,19.000000
7.379125,18.000000
7.492650,9.000000
7.606175,26.000000
7.719700,6.000000
7.833225,9.000000
7.946750,17.000000
8.060275,11.000000
8.173800,17.000000
8.287325,12.000000
8.400850,22.000000
8.514375,14.000000
8.627900,14.000000
8.741425,15.000000
8.854950,16.000000
8.968475,17.000000
9.082000,11.000000
9.195525,15.000000
9.309050,20.000000
9.422575,14.000000
9.536100,23.000000
9.649625,17.000000
9.763150,14.000000
9.876675,16.000000
9.990200,19.000000
10.103725,17.000000
10.217250,18.000000
10.330775,19.000000
10.444300,15.000000
10.557825,16.000000
10.671350,11.000000
10.784875,12.000000
10.898400,12.000000
11.011925,8.000000
11.125450,5.000000
11.238975,4.000000
